172.21.0.1 - - [02/Dec/2023:14:54:13 +0800] "GET / HTTP/1.1" 200 685 "-" "curl/7.29.0" "-"
58.208.255.172 - - [02/Dec/2023:15:03:27 +0800] "GET //mes-api/ HTTP/1.1" 502 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" "-"
172.21.0.1 - - [02/Dec/2023:15:08:07 +0800] "GET /mes-api/index.html HTTP/1.1" 502 555 "-" "curl/7.29.0" "-"
58.208.255.172 - - [02/Dec/2023:15:08:50 +0800] "GET //mes-api/ HTTP/1.1" 502 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" "-"
58.208.255.172 - - [02/Dec/2023:15:08:51 +0800] "GET //mes-api/ HTTP/1.1" 502 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" "-"
58.208.255.172 - - [02/Dec/2023:15:08:51 +0800] "GET //mes-api/ HTTP/1.1" 502 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" "-"
58.208.255.172 - - [02/Dec/2023:15:08:51 +0800] "GET //mes-api/ HTTP/1.1" 502 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" "-"
58.208.255.172 - - [02/Dec/2023:15:08:55 +0800] "GET /mes-api/ HTTP/1.1" 502 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" "-"
58.208.255.172 - - [02/Dec/2023:15:11:35 +0800] "GET /mes-api/ HTTP/1.1" 502 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" "-"
58.208.255.172 - - [02/Dec/2023:15:11:37 +0800] "GET /mes- HTTP/1.1" 200 710 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" "-"
58.208.255.172 - - [02/Dec/2023:15:11:44 +0800] "GET /prod-api HTTP/1.1" 301 169 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" "-"
58.208.255.172 - - [02/Dec/2023:15:11:44 +0800] "GET /prod-api/ HTTP/1.1" 502 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36" "-"
172.21.0.1 - - [02/Dec/2023:15:12:12 +0800] "GET /mes-api/index.html HTTP/1.1" 502 555 "-" "curl/7.29.0" "-"
